PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional,MVP
189,173,22,49,9,0,7,23,4,3,16,43,0.283,0.344,0.457,0.801,111.0,79.0,6,0,0,0,0,vazquch01,0
77,63,11,10,1,1,0,3,4,2,10,23,0.159,0.274,0.206,0.48,34.0,13.0,2,0,4,0,0,velazan01,0
221,201,36,62,16,0,6,15,4,0,17,45,0.308,0.367,0.478,0.844,123.0,96.0,4,2,0,1,1,verdual01,0
207,185,13,43,5,0,2,15,16,5,19,54,0.232,0.301,0.292,0.593,63.0,54.0,2,0,1,2,1,villajo01,0
128,116,10,30,4,0,2,9,9,5,10,32,0.259,0.315,0.345,0.66,79.0,40.0,2,0,1,1,1,villajo01,0
79,69,3,13,1,0,0,6,7,0,9,22,0.188,0.278,0.203,0.481,36.0,14.0,0,0,0,1,0,villajo01,0
24,21,1,4,1,0,0,0,0,0,2,9,0.19,0.292,0.238,0.53,47.0,5.0,0,1,0,0,0,vilorme01,0
136,115,16,24,3,0,6,16,0,0,20,33,0.209,0.331,0.391,0.722,98.0,45.0,3,1,0,0,1,vogelda01,0
69,57,3,5,1,0,2,4,0,0,12,15,0.088,0.246,0.211,0.457,31.0,12.0,1,0,0,0,1,vogelda01,0
64,53,3,5,1,0,2,4,0,0,11,13,0.094,0.25,0.226,0.476,36.0,12.0,1,0,0,0,1,vogelda01,0
5,4,0,0,0,0,0,0,0,0,1,2,0.0,0.2,0.0,0.2,-37.0,0.0,0,0,0,0,0,vogelda01,0
67,58,13,19,2,0,4,12,0,0,8,18,0.328,0.418,0.569,0.987,161.0,33.0,2,1,0,0,0,vogelda01,0
81,72,6,12,5,0,1,7,0,0,8,18,0.167,0.247,0.278,0.525,43.0,20.0,1,0,0,1,0,vogtst01,0
234,213,41,59,5,0,22,52,0,0,17,54,0.277,0.338,0.61,0.948,157.0,130.0,4,3,0,1,0,voitlu01,0
223,186,32,42,8,0,11,22,0,0,37,43,0.226,0.354,0.446,0.8,107.0,83.0,5,0,0,0,1,vottojo01,0
44,39,3,9,3,0,0,1,1,1,4,9,0.231,0.318,0.308,0.626,76.0,12.0,0,1,0,0,0,wadela01,0
105,88,19,15,3,0,3,10,4,1,12,22,0.17,0.288,0.307,0.595,67.0,27.0,1,3,1,1,0,wadety01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,waldema01,0
243,218,35,59,18,1,7,34,1,1,19,50,0.271,0.333,0.459,0.792,112.0,100.0,6,3,0,3,0,walkech02,0
41,39,5,9,3,0,0,3,0,0,1,13,0.231,0.244,0.308,0.552,48.0,12.0,0,0,0,1,0,walkene01,0
48,44,4,10,3,0,1,6,0,0,3,12,0.227,0.277,0.364,0.64,71.0,16.0,1,0,1,0,0,wallach01,0
108,99,19,29,4,2,9,26,0,0,5,15,0.293,0.324,0.646,0.971,157.0,64.0,0,1,0,3,0,walshja01,0
14,13,0,2,1,0,0,3,0,1,1,5,0.154,0.214,0.231,0.445,26.0,3.0,1,0,0,0,0,waltodo01,0
102,94,16,26,6,2,0,5,2,0,8,28,0.277,0.333,0.383,0.716,96.0,36.0,1,0,0,0,0,wardta01,0
184,168,24,48,9,2,4,17,8,2,10,35,0.286,0.342,0.435,0.777,118.0,73.0,1,5,0,1,1,wendljo01,0
52,48,5,9,2,0,0,3,1,1,3,16,0.188,0.231,0.229,0.46,28.0,11.0,0,0,0,1,0,whiteel04,0
202,182,19,32,7,0,8,26,1,2,18,84,0.176,0.252,0.346,0.599,66.0,63.0,3,1,0,1,0,whiteev01,0
1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0,0,0,whiteaa01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,wickro01,0
41,35,3,7,1,0,0,4,0,0,3,10,0.2,0.3,0.229,0.529,50.0,8.0,1,2,1,0,0,wietema01,0
6,5,0,1,0,0,0,0,0,0,1,2,0.2,0.333,0.2,0.533,54.0,1.0,0,0,0,0,0,williju02,0
18,18,0,2,0,1,0,0,0,1,0,9,0.111,0.111,0.222,0.333,-13.0,4.0,0,0,0,0,0,willima10,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,willita01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,willita01,0
183,149,27,38,7,0,12,23,1,0,28,46,0.255,0.388,0.544,0.932,139.0,81.0,3,5,0,1,0,winkeje01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,winklda01,0
2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0,0,0,wisdopa01,0
109,100,10,23,4,0,0,8,0,0,6,30,0.23,0.28,0.27,0.55,42.0,27.0,1,1,2,0,0,wolteto01,0
208,181,26,48,4,2,1,16,5,2,20,30,0.265,0.35,0.326,0.675,90.0,59.0,1,4,2,1,1,wongko01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,woodfja01,0
225,192,39,57,14,4,10,35,2,1,30,55,0.297,0.4,0.568,0.968,164.0,109.0,2,3,0,0,2,yastrmi01,0
247,200,39,41,7,1,12,22,4,2,46,76,0.205,0.356,0.43,0.786,110.0,86.0,4,1,0,0,2,yelicch01,0
34,26,3,5,2,0,1,4,0,0,5,10,0.192,0.382,0.385,0.767,110.0,10.0,0,3,0,0,0,youngan02,0
50,37,3,6,0,0,1,3,2,1,7,14,0.162,0.36,0.243,0.603,71.0,9.0,2,5,0,1,0,zimmebr01,0
84,75,8,11,4,0,4,10,0,0,6,37,0.147,0.238,0.36,0.598,66.0,27.0,0,3,0,0,0,zuninmi01,0
